fold,model_name,category,cv_strategy,held_out_station,num_train_samples,num_test_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,training_time_s
1,transformer,Deep Learning,kfold,Multiple,1484,165,6024.052727272727,1218.25432412536,6016.5673828125,1229.7166748046875,74.98329338304922,9266.500432266363,96.26266375010803,0.9937563316358391,-7.485094401041644,1.2447316910686546,1.5979717991892326,15.546954154968262
2,transformer,Deep Learning,kfold,Multiple,1484,165,5844.764848484848,1246.943456947819,5856.330078125,1259.390869140625,75.94241625236741,9581.38871190567,97.88456830320942,0.993837812080886,11.565615826231053,1.2993237233839123,1.674739204068822,14.946568727493286
3,transformer,Deep Learning,kfold,Multiple,1484,165,5789.6975757575765,1291.4062540362038,5784.5888671875,1343.6807861328125,81.49624082623109,10619.535605466685,103.05113102468447,0.9936323416343463,-5.109094756155316,1.4076079062828661,1.7799052485258753,15.170422315597534
4,transformer,Deep Learning,kfold,Multiple,1484,165,5996.647272727273,1121.0324468887645,6007.47216796875,1159.080810546875,87.09843957149621,12702.451742553238,112.70515401947347,0.9898923268937699,10.824881924715916,1.4524522722491875,1.8794694584098024,14.778876781463623
5,transformer,Deep Learning,kfold,Multiple,1484,165,5959.822424242425,1282.9392201457024,5952.49853515625,1280.5545654296875,78.27032759232954,13664.923733368745,116.89706469098677,0.9916977645020832,-7.3240799597538,1.313299659297798,1.9614185854848853,14.804716348648071
6,transformer,Deep Learning,kfold,Multiple,1484,165,5979.801818181819,1270.376014747279,5980.61669921875,1284.9324951171875,75.36611476089016,12078.172598363715,109.90073975348717,0.9925159503421834,0.8146724076704369,1.260344691219307,1.837865920896069,14.474268436431885
7,transformer,Deep Learning,kfold,Multiple,1484,165,5868.0557575757575,1140.39296668598,5875.78271484375,1161.0496826171875,93.90883345170455,16877.436149996327,129.91318697498082,0.9870223094784065,7.7271407433712245,1.6003398285789407,2.213905121935161,14.753803014755249
8,transformer,Deep Learning,kfold,Multiple,1484,165,5935.586666666667,1278.353422584828,5919.07421875,1276.4725341796875,92.88481741240531,16568.28656697131,128.71785644179798,0.9898614529603464,-16.512292554450774,1.5648801479731065,2.1685785023518815,14.923827886581421
9,transformer,Deep Learning,kfold,Multiple,1484,165,5869.993333333334,1340.6457870441366,5884.419921875,1362.5936279296875,72.89955374053034,8923.209995141468,94.4627439530605,0.9950352999152607,14.42650568181818,1.241901814889006,1.6092478915886415,14.70823335647583
10,transformer,Deep Learning,kfold,Multiple,1485,164,5808.281097560975,1304.2383465385929,5819.24755859375,1348.8978271484375,78.15132014576984,13195.464703035945,114.87151388850042,0.9922426969268311,10.966085889862844,1.3455154603069626,1.9777196034251425,14.634498119354248
