fold,model_name,category,cv_strategy,held_out_station,num_train_samples,num_test_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,inference_time_ms,training_time_s
21,dt,Classical ML,loso,Hail - TVTC,1603,46,5909.593478260869,1376.415776794803,5851.70652173913,1427.8926121785169,300.31304347826074,171204.38173913045,413.76851226154275,0.9096318083522773,-57.886956521739144,5.081788528821778,7.001640870622296,0.004923913049582473,0.015608549118041992
22,dt,Classical ML,loso,Jazan - University,1605,44,5479.720454545455,658.8391897805582,5494.999999999999,735.2964927651481,336.63409090909096,220313.61568181822,469.37577236348517,0.4924457261465254,15.279545454545458,6.143271243514828,8.565688272914281,0.005440909097325692,0.015679121017456055
23,dt,Classical ML,loso,Jeddah - KAU,1603,46,5424.1391304347835,1065.8639036375632,5480.717391304349,1110.7992849460577,228.26956521739118,92498.9339130434,304.1363738737006,0.9185796025722377,56.57826086956515,4.2084017339557755,5.60709020473304,0.004991304392561965,0.015007257461547852
24,dt,Classical ML,loso,Layla - TVTC,1598,51,6283.745098039216,1045.311658059916,6212.035294117647,1048.628678523047,292.72549019607845,144448.79176470594,380.06419426816035,0.8678027790244612,-71.7098039215686,4.658455835317392,6.048370650597457,0.004805882353513666,0.015599727630615234
25,dt,Classical ML,loso,Madinah - Taibah University,1625,24,5939.904166666667,1174.7210255627954,5897.508333333334,1217.8182598800292,189.61249999999995,56686.09624999998,238.0884210750283,0.958922210420542,-42.39583333333335,3.1921811308684123,4.008287244954625,0.05179583331482718,0.016426563262939453
26,dt,Classical ML,loso,Mahd ad Dahab,1642,7,5798.400000000001,949.9375588502045,5922.128571428571,1032.803564111209,212.44285714285692,60851.46428571419,246.68089566424513,0.9325656905187234,123.72857142857148,3.663818590350043,4.254292488690761,0.03731428608131994,0.01654839515686035
27,dt,Classical ML,loso,Majmaah - University,1598,51,5979.882352941176,1368.858325315889,5979.280392156864,1378.6014951249074,173.64509803921567,52775.809607843155,229.72986224660292,0.9718344717450741,-0.6019607843136863,2.903821309357519,3.8417120720378626,0.005572549079992242,0.015058517456054688
28,dt,Classical ML,loso,Makkah - UQU,1626,23,5840.304347826087,1196.1438442211092,5919.360869565216,1163.6347808704488,357.3173913043478,273601.73173913034,523.0695285897758,0.8087717623024087,79.05652173913042,6.118129638866348,8.95620326335349,0.010956521810325998,0.01516270637512207
29,dt,Classical ML,loso,Najran - University,1599,50,6840.951999999999,698.6154293286113,6828.545999999999,634.4714156555833,358.31800000000004,222954.0766,472.18013151762324,0.543186351092634,-12.406000000000022,5.237838242396673,6.902257631943964,0.006624000016017817,0.01711440086364746
30,dt,Classical ML,loso,Osfan - KAU,1603,46,5753.413043478261,1092.5723178947324,5694.904347826086,1021.0418483431778,244.86521739130433,132238.40999999997,363.64599544062077,0.8892210528581124,-58.508695652173856,4.255999274532696,6.320526489104219,0.004019565217870126,0.014392852783203125
31,dt,Classical ML,loso,Rania - TVTC,1621,28,6412.253571428572,799.1166299117612,6319.435714285716,866.1076492867738,243.04642857142858,129215.05321428567,359.46495408354576,0.7976548619630632,-92.8178571428571,3.79034337716125,5.60590672342144,0.011282142882659432,0.016480684280395508
32,dt,Classical ML,loso,Riyadh - K.A.CARE City T2,1604,45,5906.017777777777,1218.4886161486907,5801.273333333333,1219.7175150920077,186.3044444444445,73912.48511111115,271.86850702336073,0.9502177120728689,-104.74444444444447,3.1544849923317395,4.603245659813355,0.00513333337342677,0.016461849212646484
33,dt,Classical ML,loso,Riyadh - K.A.CARE HQ,1604,45,5699.173333333333,1256.6968934295792,5767.484444444444,1257.824115235964,191.6399999999999,87896.92844444439,296.47416151233887,0.9443439198302023,68.31111111111113,3.3625929374552546,5.202055529322479,0.004819999998694079,0.01709890365600586
34,dt,Classical ML,loso,Riyadh - KSU,1598,51,5913.5,1281.0528315627353,5897.986274509803,1283.9711863817934,155.93725490196073,48569.40862745096,220.38468328686312,0.9704042919766795,-15.513725490196066,2.636970574143244,3.726806177168566,0.004288235276380517,0.014723539352416992
35,dt,Classical ML,loso,Shaqra - University,1602,47,5994.593617021277,1329.9769433938534,6065.374468085107,1346.4580507118833,130.39361702127664,36375.098085106416,190.7225683685767,0.9794356044432564,70.7808510638298,2.1751869326226227,3.1815762761137267,0.003974468083779744,0.014768838882446289
36,dt,Classical ML,loso,Sharurah - TVTC,1608,41,6656.526829268292,674.428293038572,6493.20243902439,890.8800563892424,294.9292682926829,172026.70317073175,414.7610193481684,0.6217975794849578,-163.32439024390257,4.430677977528749,6.230892325476593,0.006136585420236082,0.01785874366760254
37,dt,Classical ML,loso,Tabuk - University,1615,34,6011.488235294117,1461.0986017306425,5896.179411764705,1339.5254409413305,420.8911764705882,342487.35911764705,585.2241956016917,0.8395700321538546,-115.30882352941174,7.001447228982155,9.735096746356007,0.007532352944562102,0.015727758407592773
38,dt,Classical ML,loso,Taif - University,1624,25,6213.852,1028.2639618774938,6159.124,927.0565550299507,451.67999999999995,445567.30479999987,667.5082806977003,0.5785907297436379,-54.727999999999994,7.268921113666692,10.742262298775387,0.009108000085689127,0.015492677688598633
39,dt,Classical ML,loso,Thuwal - KAUST,1603,46,5567.534782608695,1035.9074126029905,5444.997826086957,985.0611478457945,285.1978260869566,139041.69413043483,372.88294963759716,0.8704303847256545,-122.53695652173919,5.122515390075852,6.697451640578364,0.005573913095640423,0.017116785049438477
40,dt,Classical ML,loso,Timaa - TVTC,1598,51,6221.5921568627455,1460.165548610927,6066.892156862745,1494.3921569527909,259.2803921568628,135334.86647058823,367.8788747272507,0.9365245915766854,-154.70000000000005,4.16742829841173,5.912937805179995,0.00442745095271818,0.015060186386108398
41,dt,Classical ML,loso,Umluj - SWCC,1598,51,5969.813725490198,1184.3944103310246,5934.811764705882,925.8072620844245,421.5274509803922,283663.7303921568,532.6009109944864,0.7977860504540757,-35.001960784313745,7.060981638012155,8.921566659950567,0.004203921550880277,0.014654874801635742
42,dt,Classical ML,loso,Wadi Addawasir - TVTC,1634,15,6290.633333333333,788.4023386289234,6246.333333333333,849.7731475059813,164.56666666666672,60429.535333333326,245.82419598837973,0.9027804856894831,-44.29999999999982,2.616058796411597,3.9077813466854914,0.01862666686065495,0.01714920997619629
43,dt,Classical ML,loso,Yanbu - RCJY,1637,12,5882.533333333333,1335.5128361627812,5864.883333333332,1323.5584295333883,357.09999999999997,211292.54666666663,459.6656901125715,0.8815355494454612,-17.64999999999979,6.070513837575647,7.814077100215975,0.020941666965275847,0.01575922966003418
