fold,model_name,category,cv_strategy,held_out_station,num_train_samples,num_test_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,inference_time_ms,training_time_s
1,lstm,Deep Learning,loso,Afif - TVTC,1600,49,6219.828571428571,1173.7154214767074,6238.71044921875,983.6874389648438,215.53910634566333,67074.4785892814,258.98741009802274,0.9513109070829496,18.881389508928564,3.4653544526253444,4.16389948892978,0.3566408163258492,10.754481554031372
2,lstm,Deep Learning,loso,Al Ahsa - KFU,1631,18,5549.283333333333,1266.2999443917963,5737.6728515625,1092.0540771484375,378.55852322048605,292722.2363802926,541.0381099149048,0.8174497050980155,188.38927408854158,6.82175517956648,9.7496933822969,0.7802333333933752,9.816107511520386
3,lstm,Deep Learning,loso,Al Baha - University,1617,32,6122.075000000001,770.5048710099112,6007.984375,642.0944213867188,253.78317565917962,124192.03784082318,352.4089071530729,0.7908090095453645,-114.0903350830078,4.145378415964842,5.7563637680536885,0.08954999998422863,9.750775814056396
4,lstm,Deep Learning,loso,Al Dawadmi - TVTC,1600,49,6158.08163265306,1242.735881715603,6025.06103515625,992.5106201171875,281.1437779017857,125904.97121519438,354.83090510156296,0.9184760522198597,-133.0201490752551,4.565444154085721,5.762036398154934,0.1029142857783436,9.869409322738647
5,lstm,Deep Learning,loso,Al Dhahran - KFUPM,1604,45,5201.251111111111,1315.5792518248752,5355.9501953125,1081.13330078125,288.13400390625,117352.90526049375,342.56810309848424,0.932195297525771,154.69900824652782,5.539705692938515,6.586263492771523,0.08559777779737487,9.725056409835815
6,lstm,Deep Learning,loso,Al Farshah - TQ TVTC,1604,45,5783.742222222222,648.1317134619026,5889.220703125,516.3333129882812,321.98653211805566,195184.530345671,441.79693338192266,0.5353575876281003,105.4789583333334,5.5670968681993305,7.638599999917976,0.0843933333170652,9.499879121780396
7,lstm,Deep Learning,loso,Al Hanakiyah - TVTC,1598,51,6190.123529411763,1218.1734376320348,6201.240234375,948.7814331054688,321.6909390318627,142435.72912458266,377.40658330848265,0.9040155916629452,11.116494332107875,5.196841993594794,6.09691521526626,0.09187058822135441,9.171009063720703
8,lstm,Deep Learning,loso,Al Jouf - TVTC,1609,40,5857.597500000001,1618.4891058464837,5937.47265625,1210.8580322265625,422.2634130859375,241657.4339767184,491.5866495102551,0.9077469786139527,79.87508300781253,7.208815783022603,8.39229137048517,0.09347499999421416,9.59725832939148
9,lstm,Deep Learning,loso,Al Jubail - SWCC,1600,49,5368.820408163266,1346.8619593494689,5373.9306640625,1117.80810546875,274.3584622130103,115935.46782112893,340.4929776384954,0.9360898046562729,5.110315688775514,5.110218658010045,6.342044466989013,0.10280000001051919,9.758363246917725
10,lstm,Deep Learning,loso,Al Khafji - SWCC,1627,22,5728.686363636364,1368.320342043636,5461.193359375,1083.309326171875,490.4781227805399,380320.56245967955,616.7013559736022,0.796869919873096,-267.4926602450284,8.561790463760037,10.765144342483122,0.12336363628988195,9.84356164932251
11,lstm,Deep Learning,loso,Al Qunfudhah - TVTC,1604,45,5561.022222222223,862.9555088026493,5489.46435546875,678.34716796875,336.88036458333335,188359.62071333098,434.00417130867646,0.7470637961022667,-71.5574435763889,6.057885603066582,7.804395558326782,0.0924466666927199,9.858144521713257
12,lstm,Deep Learning,loso,Al Uwayqilah,1645,4,4700.0,1374.3970077819579,5061.89111328125,1031.24462890625,443.9093505859373,254613.1412612651,504.59205429858395,0.8652103911478242,361.8914794921875,9.444879799700793,10.736001155289019,0.3269749995524762,9.897969722747803
13,lstm,Deep Learning,loso,Al Wajh - TVTC,1630,19,6172.1578947368425,1468.5868779977395,5850.01123046875,1032.570068359375,531.2397409539475,427994.75995249103,654.213084516422,0.8015554550637626,-322.1467413651315,8.607034201230485,10.599422368541255,0.1294947369866637,9.80445146560669
14,lstm,Deep Learning,loso,Arar - TVTC,1612,37,5733.135135135134,1774.237785827315,5743.54541015625,1269.203369140625,460.4039511190878,328610.9159909278,573.2459472084629,0.895610134580465,10.41001108530408,8.030579085735013,9.998821477194276,0.10366216215393129,9.772011756896973
15,lstm,Deep Learning,loso,Dammam - IAFU,1625,24,5679.474999999999,1462.4693592944093,5711.21923828125,1113.60546875,339.07678222656256,197363.2054964845,444.25578836576176,0.9077231759765916,31.744116210937438,5.970213483227985,7.822127720709428,0.11274583327273528,9.782607555389404
16,lstm,Deep Learning,loso,Duba - TVTC,1598,51,6060.007843137256,1282.3317258933441,6006.0390625,1037.125,340.84378446691176,156310.38959744063,395.36108761161694,0.9049423505160203,-53.96809129901965,5.624477612729582,6.524101912827544,0.09618431374524244,9.522591829299927
17,lstm,Deep Learning,loso,Farasan - SWCC,1611,38,5479.676315789476,759.3133440412188,5513.68017578125,603.1373901367188,328.27852076480264,216623.23039445133,465.4280077460437,0.6242811679394724,34.00373149671051,5.99083781315478,8.493713513787865,0.10052894743383053,9.70398497581482
18,lstm,Deep Learning,loso,Hada Al Sham - KAU,1598,51,5853.949019607843,1122.0203016884318,5823.99951171875,949.9108276367188,244.58550091911764,89373.08944974709,298.9533231956907,0.9290086653980437,-29.949440870098016,4.178128304497985,5.1068658472143245,0.09342745097990915,10.076581716537476
19,lstm,Deep Learning,loso,Hafar Al Batin - TVTC,1599,50,5774.338000000001,1488.745472119395,5901.1669921875,1190.783203125,343.06318749999997,166603.09675576017,408.17042611605285,0.9248304133008153,126.82864062499999,5.941169143545111,7.068696465569782,0.09473600002820604,9.760890483856201
20,lstm,Deep Learning,loso,Hagl - SWCC,1598,51,5767.360784313726,1417.5352506013471,5657.28759765625,903.1951904296875,512.3162683823529,389391.3464934791,624.012296748613,0.8062157123476034,-110.07350260416673,8.883027914185098,10.819720147312857,0.09808823525935284,9.748740196228027
21,lstm,Deep Learning,loso,Hail - TVTC,1603,46,5909.593478260869,1376.415776794803,5842.09521484375,1141.909423828125,269.65028766134515,136312.85737843066,369.2057114650729,0.9280488834778039,-67.49786536175272,4.56292448293246,6.2475652990893416,0.09852173910906498,10.066176891326904
22,lstm,Deep Learning,loso,Jazan - University,1605,44,5479.720454545455,658.8391897805582,5544.05810546875,597.4367065429688,246.12198375355118,120155.86809010226,346.6350647151875,0.7231872202316242,64.33715154474436,4.491506196258457,6.325780075654261,0.0863227272599364,9.890293836593628
23,lstm,Deep Learning,loso,Jeddah - KAU,1603,46,5424.1391304347835,1065.8639036375632,5795.9013671875,812.0712890625,412.02593410326097,265328.18100424844,515.1001659912841,0.7664500007485506,371.7625551970108,7.596153494503636,9.496440884066985,0.07792391308770595,9.701801776885986
24,lstm,Deep Learning,loso,Layla - TVTC,1598,51,6283.745098039216,1045.311658059916,6058.36474609375,1097.8603515625,279.01693857230396,117046.69996995367,342.1208850245095,0.8928807346094657,-225.38017003676478,4.440296896501557,5.444537925818556,0.09469019606316863,9.568603992462158
25,lstm,Deep Learning,loso,Madinah - Taibah University,1625,24,5939.904166666667,1174.7210255627954,5942.25634765625,887.1707763671875,372.85648193359384,212246.65360787042,460.7023481683922,0.8461946764265286,2.3525675455728674,6.27714642310184,7.756056920139293,0.10608333332129405,9.759021759033203
26,lstm,Deep Learning,loso,Mahd ad Dahab,1642,7,5798.400000000001,949.9375588502045,6151.81689453125,827.4239501953125,393.9316266741072,223390.63715234897,472.6421872329521,0.7524432067859439,353.4170340401787,6.793798749208525,8.151251849354168,0.19265714321850932,9.82740306854248
27,lstm,Deep Learning,loso,Majmaah - University,1598,51,5979.882352941176,1368.858325315889,5960.02490234375,1129.3966064453125,246.5915862438725,95518.78808614239,309.06113972180714,0.9490232903160104,-19.857230392156808,4.123686248151482,5.168348162732615,0.09334901958080831,9.562294960021973
28,lstm,Deep Learning,loso,Makkah - UQU,1626,23,5840.304347826087,1196.1438442211092,5885.85595703125,952.5820922851562,327.2717688519021,183112.6266984064,427.91661185142885,0.8720172395067294,45.55228855298909,5.603676612738875,7.326957404380999,0.1383304348248361,9.684013843536377
29,lstm,Deep Learning,loso,Najran - University,1599,50,6840.951999999999,698.6154293286113,6508.361328125,603.4144287109375,417.97728320312495,256137.08925161685,506.0998807069775,0.4751972238145531,-332.5909941406251,6.109928606473558,7.39809138709024,0.10846600001968909,9.884995937347412
30,lstm,Deep Learning,loso,Osfan - KAU,1603,46,5753.413043478261,1092.5723178947324,5811.7685546875,860.33935546875,264.85299125339674,107293.66883909414,327.557123016878,0.9101177965692024,58.35513969089675,4.60340652151889,5.693266249816324,0.09052608694891323,9.747089147567749
31,lstm,Deep Learning,loso,Rania - TVTC,1621,28,6412.253571428572,799.1166299117612,6424.72802734375,738.7640380859375,203.42859235491076,60532.84452479979,246.03423445691413,0.9052082054184003,12.474700055803623,3.1724976264403923,3.83693863189039,0.09012857143326462,9.791918516159058
32,lstm,Deep Learning,loso,Riyadh - K.A.CARE City T2,1604,45,5906.017777777777,1218.4886161486907,5823.671875,995.9564819335938,261.3561089409722,99617.1451493202,315.62183883457783,0.9329048482831115,-82.34604383680553,4.425250969009293,5.3440719400159855,0.08650000001782447,9.788134098052979
33,lstm,Deep Learning,loso,Riyadh - K.A.CARE HQ,1604,45,5699.173333333333,1256.6968934295792,5824.3759765625,1021.82275390625,264.4530186631944,100689.68883181868,317.3163860121609,0.936243581054852,125.20302300347224,4.640199607835425,5.567761628800449,0.08232222228091106,9.728075504302979
34,lstm,Deep Learning,loso,Riyadh - KSU,1598,51,5913.5,1281.0528315627353,5877.59619140625,999.0411376953125,279.2421702665441,118442.57206107625,344.15486639168165,0.9278271677726482,-35.90405752144608,4.72211330458348,5.819816798709422,0.10189215683175123,9.493443250656128
35,lstm,Deep Learning,loso,Shaqra - University,1602,47,5994.593617021277,1329.9769433938534,5888.3271484375,1042.01513671875,307.9515770445478,129184.05286538857,359.4218313700332,0.9269667409134807,-106.26724775598403,5.137155188804432,5.9957664244241204,0.08228297876020735,9.761257410049438
36,lstm,Deep Learning,loso,Sharurah - TVTC,1608,41,6656.526829268292,674.428293038572,6575.1357421875,633.8026733398438,173.58986518673785,44064.52864607021,209.91552740583583,0.9031236948355726,-81.39174209222567,2.607814399898084,3.1535293523170616,0.10392195122776461,9.674039840698242
37,lstm,Deep Learning,loso,Tabuk - University,1615,34,6011.488235294117,1461.0986017306425,5936.37646484375,1057.87060546875,472.61417738970596,379162.5693247212,615.7617796881527,0.8223904118331806,-75.11174172794114,7.861849826386343,10.243083835263068,0.11492647065418114,9.733531713485718
38,lstm,Deep Learning,loso,Taif - University,1624,25,6213.852,1028.2639618774938,6008.150390625,923.3759155273438,282.43650390624987,130883.21696310911,361.7778558219244,0.8762130875514165,-205.70119921874996,4.545272463944263,5.822118966173067,0.11085599995567463,9.874315738677979
39,lstm,Deep Learning,loso,Thuwal - KAUST,1603,46,5567.534782608695,1035.9074126029905,5557.63623046875,744.8770751953125,335.61306470788054,164159.17908275567,405.1656193246851,0.8470240037671604,-9.898233695652202,6.028037144127682,7.277289413445619,0.08801304347403145,10.56679630279541
40,lstm,Deep Learning,loso,Timaa - TVTC,1598,51,6221.5921568627455,1460.165548610927,6139.91748046875,1069.0001220703125,384.986580882353,203355.80189567417,450.94988845289026,0.9046210860718303,-81.67493489583339,6.187910926589626,7.248142872166069,0.10028431372084728,11.115442991256714
41,lstm,Deep Learning,loso,Umluj - SWCC,1598,51,5969.813725490198,1184.3944103310246,5892.34423828125,831.8554077148438,404.33875995710787,237911.14271641526,487.76135836740417,0.8304014695739875,-77.46926700367649,6.773054881606151,8.170461940625337,0.10554705880292437,10.67528486251831
42,lstm,Deep Learning,loso,Wadi Addawasir - TVTC,1634,15,6290.633333333333,788.4023386289234,6188.12841796875,706.3379516601562,200.03630208333337,52106.4707172445,228.26841813366232,0.9161706978611935,-102.50423177083327,3.179907196678661,3.6287032805440202,0.09338666665523002,10.313248872756958
43,lstm,Deep Learning,loso,Yanbu - RCJY,1637,12,5882.533333333333,1335.5128361627812,5663.546875,935.3790283203125,498.4821289062499,375745.68166470825,612.980979855581,0.7893323431002379,-218.9862141927081,8.473936324025646,10.420357099927148,0.10879999990720535,10.48172378540039
